,miou_model1,miou_model2,img_names
260,0.7481579830352978,0.7482588809822363,im_rsat2_ar_20130603112554_00104877_l_480_672_192.tif
261,0.5699003166736664,0.570930886357208,im_rsat2_ar_20130603112554_00104877_l_480_768_192.tif
262,0.7479083565898954,0.748098195107519,im_rsat2_ar_20130603112554_00104877_l_480_864_192.tif
263,0.8368325792518286,0.8382419028605222,im_rsat2_ar_20130603112554_00104877_l_480_960_192.tif
264,0.4881049267857259,0.4888237853293215,im_rsat2_ar_20130603112554_00104877_l_480_96_192.tif
265,0.5023394384167784,0.4988643931035865,im_rsat2_ar_20130603112554_00104877_l_576_0_192.tif
266,0.7454099588994851,0.7448375648596615,im_rsat2_ar_20130603112554_00104877_l_576_1056_192.tif
267,0.5935403363645435,0.5957876766344808,im_rsat2_ar_20130603112554_00104877_l_576_1152_192.tif
268,0.7067034681250942,0.7008180037011604,im_rsat2_ar_20130603112554_00104877_l_576_1248_192.tif
269,0.4552128667114698,0.45147069515425237,im_rsat2_ar_20130603112554_00104877_l_576_1344_192.tif
270,0.49138922069936786,0.48502774869386767,im_rsat2_ar_20130603112554_00104877_l_576_1440_192.tif
271,0.5623067901484418,0.5580724124279629,im_rsat2_ar_20130603112554_00104877_l_576_1536_192.tif
272,0.5278612118597137,0.5262321527846131,im_rsat2_ar_20130603112554_00104877_l_576_1632_192.tif
273,0.49900329218474915,0.4987420168780471,im_rsat2_ar_20130603112554_00104877_l_576_1728_192.tif
274,0.502803226424688,0.5019612172340036,im_rsat2_ar_20130603112554_00104877_l_576_1824_192.tif
275,0.6738085314059608,0.6726614699533946,im_rsat2_ar_20130603112554_00104877_l_576_1920_192.tif
276,0.6435361545103983,0.6435461313788674,im_rsat2_ar_20130603112554_00104877_l_576_192_192.tif
277,0.5179768112358911,0.518071418745995,im_rsat2_ar_20130603112554_00104877_l_576_2016_192.tif
278,0.5258712322479306,0.5231594847128376,im_rsat2_ar_20130603112554_00104877_l_576_2112_192.tif
279,0.6329901757878356,0.6322128298600528,im_rsat2_ar_20130603112554_00104877_l_576_2208_192.tif
280,0.5854144620050841,0.5875334893796224,im_rsat2_ar_20130603112554_00104877_l_576_2304_192.tif
281,0.6923857286895448,0.6927998951299656,im_rsat2_ar_20130603112554_00104877_l_576_288_192.tif
282,0.8368375822290319,0.8371502232211435,im_rsat2_ar_20130603112554_00104877_l_576_384_192.tif
283,0.5700576018288237,0.5644396151961395,im_rsat2_ar_20130603112554_00104877_l_576_480_192.tif
284,0.7663330560087189,0.7683893939512594,im_rsat2_ar_20130603112554_00104877_l_576_672_192.tif
285,0.5667103356977714,0.5708208539020915,im_rsat2_ar_20130603112554_00104877_l_576_768_192.tif
286,0.5789059018973773,0.5803998385749795,im_rsat2_ar_20130603112554_00104877_l_576_864_192.tif
287,0.8169773256363368,0.8196156591544892,im_rsat2_ar_20130603112554_00104877_l_576_960_192.tif
288,0.48974899078509093,0.492098938245392,im_rsat2_ar_20130603112554_00104877_l_576_96_192.tif
289,0.7843047662498355,0.7795693102362176,im_rsat2_ar_20130603112554_00104877_l_672_0_192.tif
290,0.5842608702896164,0.5828293638551176,im_rsat2_ar_20130603112554_00104877_l_672_1056_192.tif
291,0.568769609843464,0.5783627465313833,im_rsat2_ar_20130603112554_00104877_l_672_1152_192.tif
292,0.5767500970380643,0.5724618439534008,im_rsat2_ar_20130603112554_00104877_l_672_1248_192.tif
293,0.6104446654537791,0.6101038791984587,im_rsat2_ar_20130603112554_00104877_l_672_1344_192.tif
294,0.5677965400455454,0.5687299512639226,im_rsat2_ar_20130603112554_00104877_l_672_1440_192.tif
295,0.5428474814821563,0.5328501145057173,im_rsat2_ar_20130603112554_00104877_l_672_1536_192.tif
296,0.595151127057485,0.5935315344767291,im_rsat2_ar_20130603112554_00104877_l_672_1632_192.tif
297,0.5485494913354841,0.5465184941033827,im_rsat2_ar_20130603112554_00104877_l_672_1728_192.tif
298,0.5277286693064971,0.5275539121874866,im_rsat2_ar_20130603112554_00104877_l_672_1824_192.tif
299,0.6063431283987459,0.6054418628823235,im_rsat2_ar_20130603112554_00104877_l_672_1920_192.tif
300,0.5487210656479119,0.5443258140888823,im_rsat2_ar_20130603112554_00104877_l_672_192_192.tif
301,0.5423450185747941,0.5438333657245283,im_rsat2_ar_20130603112554_00104877_l_672_2016_192.tif
302,0.608911918430968,0.6058588691126816,im_rsat2_ar_20130603112554_00104877_l_672_2112_192.tif
303,0.6005958271950562,0.6020157716066055,im_rsat2_ar_20130603112554_00104877_l_672_2208_192.tif
304,0.5264011601617185,0.525096271616857,im_rsat2_ar_20130603112554_00104877_l_672_288_192.tif
305,0.6540818297851284,0.657754667588392,im_rsat2_ar_20130603112554_00104877_l_672_384_192.tif
306,0.49430338660729733,0.49439833020386126,im_rsat2_ar_20130603112554_00104877_l_672_480_192.tif
307,0.6858970034824922,0.6857390649655675,im_rsat2_ar_20130603112554_00104877_l_672_576_192.tif
308,0.6291731350817035,0.6273133989517935,im_rsat2_ar_20130603112554_00104877_l_672_672_192.tif
309,0.7217026891297716,0.7276483364340784,im_rsat2_ar_20130603112554_00104877_l_672_768_192.tif
310,0.600388506857766,0.6018536152259318,im_rsat2_ar_20130603112554_00104877_l_672_864_192.tif
311,0.5402052568711113,0.539109897577381,im_rsat2_ar_20130603112554_00104877_l_672_960_192.tif
312,0.5119992309044942,0.5117710568205792,im_rsat2_ar_20130603112554_00104877_l_672_96_192.tif
313,0.6141559983715785,0.6149590550805121,im_rsat2_ar_20130603112554_00104877_l_768_0_192.tif
314,0.5066373940702615,0.5058090635994357,im_rsat2_ar_20130603112554_00104877_l_768_1056_192.tif
315,0.6713145140953811,0.6678734893769298,im_rsat2_ar_20130603112554_00104877_l_768_1152_192.tif
316,0.6129670106361425,0.6097112025363783,im_rsat2_ar_20130603112554_00104877_l_768_1248_192.tif
317,0.4977803358586417,0.49873476682537343,im_rsat2_ar_20130603112554_00104877_l_768_1344_192.tif
318,0.5103231089076626,0.5109257036991722,im_rsat2_ar_20130603112554_00104877_l_768_1440_192.tif
319,0.6356261290708449,0.6365221016008964,im_rsat2_ar_20130603112554_00104877_l_768_1536_192.tif
320,0.6819658239425666,0.6827058892284548,im_rsat2_ar_20130603112554_00104877_l_768_1632_192.tif
321,0.6375883793453573,0.6307396936223288,im_rsat2_ar_20130603112554_00104877_l_768_1728_192.tif
322,0.5805413566014027,0.5826681963085946,im_rsat2_ar_20130603112554_00104877_l_768_1824_192.tif
323,0.64041186082827,0.6406365110933923,im_rsat2_ar_20130603112554_00104877_l_768_1920_192.tif
324,0.5083182249920314,0.5046487504267226,im_rsat2_ar_20130603112554_00104877_l_768_192_192.tif
325,0.5539757300436073,0.553553445613798,im_rsat2_ar_20130603112554_00104877_l_768_2016_192.tif
326,0.6194821727878926,0.6161685476040826,im_rsat2_ar_20130603112554_00104877_l_768_2112_192.tif
327,0.5885852994522405,0.5851355386996151,im_rsat2_ar_20130603112554_00104877_l_768_2208_192.tif
328,0.6727511272949916,0.6800103041469221,im_rsat2_ar_20130603112554_00104877_l_768_2304_192.tif
329,0.4817708337058516,0.4817843970741838,im_rsat2_ar_20130603112554_00104877_l_768_576_192.tif
330,0.5796221906512633,0.581285255931516,im_rsat2_ar_20130603112554_00104877_l_768_672_192.tif
331,0.6056227205053499,0.6042881291126774,im_rsat2_ar_20130603112554_00104877_l_768_768_192.tif
332,0.42697853491752125,0.42693711819572094,im_rsat2_ar_20130603112554_00104877_l_768_864_192.tif
333,0.4862025267789649,0.4846332390317831,im_rsat2_ar_20130603112554_00104877_l_768_960_192.tif
334,0.5558428915101009,0.5556463556342519,im_rsat2_ar_20130603112554_00104877_l_768_96_192.tif
335,0.7801621077534536,0.7857465804641308,im_rsat2_ar_20130603112554_00104877_l_864_0_192.tif
336,0.5533197801375848,0.5504225612578739,im_rsat2_ar_20130603112554_00104877_l_864_1056_192.tif
337,0.5840378471788428,0.5805461693013826,im_rsat2_ar_20130603112554_00104877_l_864_1152_192.tif
338,0.6882857510766214,0.6857377288841482,im_rsat2_ar_20130603112554_00104877_l_864_1248_192.tif
339,0.5388605043071155,0.5386138474984717,im_rsat2_ar_20130603112554_00104877_l_864_1344_192.tif
340,0.5897692032232585,0.5898102753909493,im_rsat2_ar_20130603112554_00104877_l_864_192_192.tif
341,0.6713905429016108,0.6727602990942613,im_rsat2_ar_20130603112554_00104877_l_864_2016_192.tif
342,0.6019543717846634,0.6020685199147308,im_rsat2_ar_20130603112554_00104877_l_864_2112_192.tif
343,0.6145756560382443,0.6127934454956185,im_rsat2_ar_20130603112554_00104877_l_864_2208_192.tif
344,0.6511762082690891,0.6513383119544687,im_rsat2_ar_20130603112554_00104877_l_864_2304_192.tif
345,0.6170010489021293,0.6118350642072297,im_rsat2_ar_20130603112554_00104877_l_864_288_192.tif
346,0.4849039718038125,0.48540581643730213,im_rsat2_ar_20130603112554_00104877_l_864_480_192.tif
347,0.7355472216765535,0.734989832037517,im_rsat2_ar_20130603112554_00104877_l_864_576_192.tif
348,0.8170244717876151,0.8165764527465817,im_rsat2_ar_20130603112554_00104877_l_864_672_192.tif
349,0.8081781438901638,0.8084803307182413,im_rsat2_ar_20130603112554_00104877_l_864_768_192.tif
350,0.5481513773130556,0.544684707042537,im_rsat2_ar_20130603112554_00104877_l_864_864_192.tif
351,0.5499504160154696,0.5474299604230614,im_rsat2_ar_20130603112554_00104877_l_864_960_192.tif
352,0.5722519526413012,0.5725536712914848,im_rsat2_ar_20130603112554_00104877_l_864_96_192.tif
353,0.7897746823236882,0.7878552555499889,im_rsat2_ar_20130603112554_00104877_l_960_1056_192.tif
354,0.8309083568670629,0.8306380082359281,im_rsat2_ar_20130603112554_00104877_l_960_1152_192.tif
355,0.7866025337667399,0.7886339434009537,im_rsat2_ar_20130603112554_00104877_l_960_1248_192.tif
356,0.5863623358871803,0.5869459022602572,im_rsat2_ar_20130603112554_00104877_l_960_192_192.tif
357,0.6168925259060434,0.6176158861784098,im_rsat2_ar_20130603112554_00104877_l_960_2112_192.tif
358,0.6575447111485854,0.656303677859544,im_rsat2_ar_20130603112554_00104877_l_960_2208_192.tif
359,0.6728948008595237,0.6754889763832425,im_rsat2_ar_20130603112554_00104877_l_960_2304_192.tif
360,0.5755673348073004,0.5739646231161017,im_rsat2_ar_20130603112554_00104877_l_960_288_192.tif
361,0.5660429876853754,0.5641606309825206,im_rsat2_ar_20130603112554_00104877_l_960_384_192.tif
362,0.6933585593839835,0.6958384197722454,im_rsat2_ar_20130603112554_00104877_l_960_480_192.tif
363,0.8515238316683871,0.8483292769914581,im_rsat2_ar_20130603112554_00104877_l_960_576_192.tif
364,0.6455759111981823,0.6454347290586324,im_rsat2_ar_20130603112554_00104877_l_960_672_192.tif
365,0.6927063396255029,0.6956593889596379,im_rsat2_ar_20130603112554_00104877_l_960_768_192.tif
366,0.5685334051818715,0.5678614988493426,im_rsat2_ar_20130603112554_00104877_l_960_864_192.tif
367,0.655489885607685,0.6500716576313791,im_rsat2_ar_20130603112554_00104877_l_960_960_192.tif
368,0.6124637566960061,0.6065373898309618,im_rsat2_ar_20130603112554_00104877_l_960_96_192.tif
369,0.5534747328713344,0.5501082295720824,im_rsat2_ar_20130614223435_00105110_l_1056_288_192.tif
370,0.6186520397890495,0.6150841589592768,im_rsat2_ar_20130614223435_00105110_l_1056_384_192.tif
371,0.6578071929889601,0.6544378877110297,im_rsat2_ar_20130614223435_00105110_l_1056_480_192.tif
372,0.609988905934922,0.6050233005468122,im_rsat2_ar_20130614223435_00105110_l_1056_576_192.tif
373,0.5356871716199036,0.5375724766008366,im_rsat2_ar_20130614223435_00105110_l_1152_288_192.tif
374,0.6829441449434762,0.6810155985987414,im_rsat2_ar_20130614223435_00105110_l_1152_384_192.tif
375,0.6460939125885983,0.6454371566184333,im_rsat2_ar_20130614223435_00105110_l_1152_480_192.tif
376,0.6946241652797898,0.6939691664567994,im_rsat2_ar_20130614223435_00105110_l_1152_576_192.tif
377,0.49789768117725236,0.4979383713450851,im_rsat2_ar_20130614223435_00105110_l_1152_672_192.tif
378,0.48993598157690527,0.49038357275409056,im_rsat2_ar_20130614223435_00105110_l_1248_192_192.tif
379,0.6604966002310733,0.6567708095955853,im_rsat2_ar_20130614223435_00105110_l_1248_288_192.tif
380,0.7088619773239062,0.712629324943322,im_rsat2_ar_20130614223435_00105110_l_1248_384_192.tif
381,0.6850404721006813,0.680144157146087,im_rsat2_ar_20130614223435_00105110_l_1248_480_192.tif
382,0.7081863838656133,0.70577423792494,im_rsat2_ar_20130614223435_00105110_l_1248_576_192.tif
383,0.7300984822373467,0.733182786351484,im_rsat2_ar_20130614223435_00105110_l_1248_672_192.tif
384,0.5338677987261288,0.5332714678745277,im_rsat2_ar_20130614223435_00105110_l_1344_192_192.tif
385,0.6236400483525182,0.6233101426096623,im_rsat2_ar_20130614223435_00105110_l_1344_288_192.tif
386,0.6585546104675417,0.6583151357200309,im_rsat2_ar_20130614223435_00105110_l_1344_384_192.tif
387,0.7035888281360199,0.7001409139641731,im_rsat2_ar_20130614223435_00105110_l_1344_480_192.tif
388,0.567597138759442,0.566961262345923,im_rsat2_ar_20130614223435_00105110_l_1344_576_192.tif
